palabra,codigo_pais,pais,bandera,significado,emoji,categoria
coger,ES,España,🇪🇸,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,MX,México,🇲🇽,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,GT,Guatemala,🇬🇹,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,SV,El Salvador,🇸🇻,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,HN,Honduras,🇭🇳,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,NI,Nicaragua,🇳🇮,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,CR,Costa Rica,🇨🇷,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,PA,Panamá,🇵🇦,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,CU,Cuba,🇨🇺,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,DO,Rep. Dominicana,🇩🇴,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,PR,Puerto Rico,🇵🇷,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,CO,Colombia,🇨🇴,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,VE,Venezuela,🇻🇪,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,EC,Ecuador,🇪🇨,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,PE,Perú,🇵🇪,tomar / agarrar,🍆😳,Doble sentido ⚠️
coger,BO,Bolivia,🇧🇴,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,PY,Paraguay,🇵🇾,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,UY,Uruguay,🇺🇾,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,AR,Argentina,🇦🇷,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,CL,Chile,🇨🇱,tener sexo (vulgar) ⚠️,🍆😳,Doble sentido ⚠️
coger,GQ,Guinea Ecuatorial,🇬🇶,tomar / agarrar,🍆😳,Doble sentido ⚠️
concha,ES,España,🇪🇸,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,MX,México,🇲🇽,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,GT,Guatemala,🇬🇹,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
